"customerNumber","contactLastName","contactFirstName","phone","addressLine1","addressLine2","city","state","postalCode","country","salesRepEmployeeNumber","creditLimit","capitalizedName"
320,"Huang","Wing","5085559555","4575 Hillside Dr.",,"New Bedford","MA","50553","USA",1188,94500.00,"Mini Creations Ltd."
321,"Brown","Julie","6505551386","7734 Strong St.",,"San Francisco","CA","94217","USA",1165,105000.00,"Corporate Gift Ideas Co."
323,"Graham","Mike","+64 9 312 5555","162-164 Grafton Road","Level 2","Auckland  ",,,"New Zealand",1612,88000.00,"Down Under Souveniers, Inc"
324,"Brown","Ann ","(171) 555-0297","35 King George",,"London",,"WX3 6FW","UK",1501,77000.00,"Stylish Desk Decors, Co."
328,"Brown","William","2015559350","7476 Moss Rd.",,"Newark","NJ","94019","USA",1323,43000.00,"Tekni Collectables Inc."
333,"Calaghan","Ben","61-7-3844-6555","31 Duncan St. West End",,"South Brisbane","Queensland","4101","Australia",1611,51600.00,"Australian Gift Network, Co"
334,"Suominen","Kalle","+358 9 8045 555","Software Engineering Center","SEC Oy","Espoo",,"FIN-02271","Finland",1501,98800.00,"Suominen Souveniers"
335,"Cramer","Philip ","0555-09555","Maubelstr. 90",,"Brandenburg",,"14776","Germany",,0.00,"Cramer Spezialitäten, Ltd"
339,"Cervantes","Francisca","2155554695","782 First Street",,"Philadelphia","PA","71270","USA",1188,81100.00,"Classic Gift Ideas, Inc"
344,"Fernandez","Jesus","+34 913 728 555","Merchants House","27-30 Merchant's Quay","Madrid",,"28023","Spain",1702,59600.00,"Caf Imports"
347,"Chandler","Brian","2155554369","6047 Douglas Av.",,"Los Angeles","CA","91003","USA",1166,57700.00,"Men 'R' Us Retailers, Ltd."
348,"McKenna","Patricia ","2967 555","8 Johnstown Road",,"Cork","Co. Cork",,"Ireland",,0.00,"Asian Treasures, Inc."
350,"Lebihan","Laurence ","91.24.4555","12, rue des Bouchers",,"Marseille",,"13008","France",1337,65000.00,"Marseille Mini Autos"
353,"Henriot","Paul ","26.47.1555","59 rue de l'Abbaye",,"Reims",,"51100","France",1337,81100.00,"Reims Collectables"
356,"Kuger","Armand","+27 21 550 3555","1250 Pretorius Street",,"Hatfield","Pretoria","0028","South Africa",,0.00,"Sar Distributors, Co"
357,"MacKinlay","Wales","64-9-3763555","199 Great North Road",,"Auckland",,,"New Zealand",1612,77700.00,"Giftsforhim.Com"
361,"Josephs","Karin","0251-555259","Luisenstr. 48",,"Münster",,"44087","Germany",,0.00,"Kommission Auto"
362,"Yoshido","Juri","6175559555","8616 Spinnaker Dr.",,"Boston","MA","51003","USA",1216,41900.00,"Gifts4allages.Com"
363,"Young","Dorothy","6035558647","2304 Long Airport Avenue",,"Nashua","NH","62005","USA",1216,114200.00,"Online Diecast Creations Co."
369,"Rodriguez","Lino ","(1) 354-2555","Jardim das rosas n. 32",,"Lisboa",,"1675","Portugal",,0.00,"Lisboa Souveniers, Inc"
376,"Urs","Braun","0452-076555","Hauptstr. 29",,"Bern",,"3012","Switzerland",1702,0.00,"Precious Collectables"
379,"Nelson","Allen","6175558555","7825 Douglas Av.",,"Brickhaven","MA","58339","USA",1188,70700.00,"Collectables For Less Inc."
381,"Cartrain","Pascale ","(071) 23 67 2555","Boulevard Tirou, 255",,"Charleroi",,"B-6000","Belgium",1401,23500.00,"Royale Belge"
382,"Pipps","Georg ","6562-9555","Geislweg 14",,"Salzburg",,"5020","Austria",1401,71700.00,"Salzburg Collectables"
385,"Cruz","Arnold","+63 2 555 3587","15 McCallum Street","NatWest Center #13-03","Makati City",,"1227 MM","Philippines",1621,81500.00,"Cruz & Sons Co."
386,"Moroni","Maurizio ","0522-556555","Strada Provinciale 124",,"Reggio Emilia",,"42100","Italy",1401,121400.00,"L'Ordine Souveniers"
398,"Shimamura","Akiko","+81 3 3584 0555","2-2-8 Roppongi",,"Minato-ku","Tokyo","106-0032","Japan",1621,94400.00,"Tokyo Collectables, Ltd"
406,"Perrier","Dominique","(1) 47.55.6555","25, rue Lauriston",,"Paris",,"75016","France",1337,95000.00,"Auto Canal+ Petit"
409,"Müller","Rita ","0711-555361","Adenauerallee 900",,"Stuttgart",,"70563","Germany",,0.00,"Stuttgart Collectable Exchange"
412,"McRoy","Sarah","04 499 9555","101 Lambton Quay","Level 11","Wellington",,,"New Zealand",1612,86800.00,"Extreme Desk Decorations, Ltd"
415,"Donnermeyer","Michael"," +49 89 61 08 9555","Hansastr. 15",,"Munich",,"80686","Germany",1504,77000.00,"Bavarian Collectables Imports, Co."
424,"Hernandez","Maria","2125558493","5905 Pompton St.","Suite 750","NYC","NY","10022","USA",1286,67500.00,"Classic Legends Inc."
443,"Feuer","Alexander ","0342-555176","Heerstr. 22",,"Leipzig",,"04179","Germany",,0.00,"Feuer Online Stores, Inc"
447,"Lewis","Dan","2035554407","2440 Pompton St.",,"Glendale","CT","97561","USA",1323,49700.00,"Gift Ideas Corp."
448,"Larsson","Martha","0695-34 6555","Åkergatan 24",,"Bräcke",,"S-844 67","Sweden",1504,116400.00,"Scandinavian Gift Ideas"
450,"Frick","Sue","4085553659","3086 Ingle Ln.",,"San Jose","CA","94217","USA",1165,77600.00,"The Sharp Gifts Warehouse"
452,"Mendel","Roland ","7675-3555","Kirchgasse 6",,"Graz",,"8010","Austria",1401,45300.00,"Mini Auto Werke"
455,"Murphy","Leslie","2035559545","567 North Pendale Street",,"New Haven","CT","97823","USA",1286,95400.00,"Super Scale Inc."
456,"Choi","Yu","2125551957","5290 North Pendale Street","Suite 200","NYC","NY","10022","USA",1286,39800.00,"Microscale Inc."
458,"Sommer","Martín ","(91) 555 22 82","C/ Araquil, 67",,"Madrid",,"28023","Spain",1702,104600.00,"Corrida Auto Replicas, Ltd"
459,"Ottlieb","Sven ","0241-039123","Walserweg 21",,"Aachen",,"52066","Germany",,0.00,"Warburg Exchange"
462,"Benitez","Violeta","5085552555","1785 First Street",,"New Bedford","MA","50553","USA",1216,85800.00,"Fungiftideas.Com"
465,"Anton","Carmen","+34 913 728555","c/ Gobelas, 19-1 Urb. La Florida",,"Madrid",,"28023","Spain",,0.00,"Anton Designs, Ltd."
471,"Clenahan","Sean","61-9-3844-6555","7 Allen Street",,"Glen Waverly","Victoria","3150","Australia",1611,60300.00,"Australian Collectables, Ltd"
473,"Ricotti","Franco","+39 022515555","20093 Cologno Monzese","Alessandro Volta 16","Milan",,,"Italy",1401,34800.00,"Frau Da Collezione"
475,"Thompson","Steve","3105553722","3675 Furth Circle",,"Burbank","CA","94019","USA",1166,55400.00,"West Coast Collectables Co."
477,"Moos","Hanna ","0621-08555","Forsterstr. 57",,"Mannheim",,"68306","Germany",,0.00,"Mit Vergnügen & Co."
480,"Semenov","Alexander ","+7 812 293 0521","2 Pobedy Square",,"Saint Petersburg",,"196143","Russia",,0.00,"Kremlin Collectables, Co."
481,"Altagar,G M","Raanan","+ 972 9 959 8555","3 Hagalim Blv.",,"Herzlia",,"47625","Israel",,0.00,"Raanan Stores, Inc"
484,"Roel","José Pedro ","(95) 555 82 82","C/ Romero, 33",,"Sevilla",,"41101","Spain",1702,65700.00,"Iberia Gift Imports, Corp."
486,"Salazar","Rosa","2155559857","11328 Douglas Av.",,"Philadelphia","PA","71270","USA",1323,72600.00,"Motor Mint Distributors Inc."
487,"Taylor","Sue","4155554312","2793 Furth Circle",,"Brisbane","CA","94217","USA",1165,60300.00,"Signal Collectibles Ltd."
489,"Smith","Thomas ","(171) 555-7555","120 Hanover Sq.",,"London",,"WA1 1DP","UK",1501,43300.00,"Double Decker Gift Stores, Ltd"
495,"Franco","Valarie","6175552555","6251 Ingle Ln.",,"Boston","MA","51003","USA",1188,85100.00,"Diecast Collectables"
496,"Snowden","Tony","+64 9 5555500","Arenales 1938 3'A'",,"Auckland  ",,,"New Zealand",1612,110000.00,"Kelly'S Gift Shop"
