"RANKINDEX","customerNumber","customerName","contactLastName","contactFirstName","phone","addressLine1","addressLine2","city","state","postalCode","country","salesRepEmployeeNumber","creditLimit"
20,321,"Corporate Gift Ideas Co.","Brown","Julie","6505551386","7734 Strong St.",,"San Francisco","CA","94217","USA",1165,105000.00
22,458,"Corrida Auto Replicas, Ltd","Sommer","Martín ","(91) 555 22 82","C/ Araquil, 67",,"Madrid",,"28023","Spain",1702,104600.00
23,148,"Dragon Souveniers, Ltd.","Natividad","Eric","+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye","Singapore",,"079903","Singapore",1621,103800.00
24,319,"Mini Classics","Frick","Steve","9145554562","3758 North Pendale Street",,"White Plains","NY","24067","USA",1323,102700.00
25,157,"Diecast Classics Inc.","Leong","Kelvin","2155551555","7586 Pompton St.",,"Allentown","PA","70267","USA",1216,100600.00
26,334,"Suominen Souveniers","Suominen","Kalle","+358 9 8045 555","Software Engineering Center","SEC Oy","Espoo",,"FIN-02271","Finland",1501,98800.00
27,166,"Handji Gifts& Co","Victorino","Wendy","+65 224 1555","106 Linden Road Sandown","2nd Floor","Singapore",,"069045","Singapore",1612,97900.00
28,167,"Herkku Gifts","Oeztan","Veysel","+47 2267 3215","Brehmen St. 121","PR 334 Sentrum","Bergen",,"N 5804","Norway  ",1504,96800.00
29,186,"Toys of Finland, Co.","Karttunen","Matti","90-224 8555","Keskuskatu 45",,"Helsinki",,"21240","Finland",1501,96500.00
30,455,"Super Scale Inc.","Murphy","Leslie","2035559545","567 North Pendale Street",,"New Haven","CT","97823","USA",1286,95400.00
31,299,"Norway Gifts By Mail, Co.","Klaeboe","Jan","+47 2212 1555","Drammensveien 126A","PB 211 Sentrum","Oslo",,"N 0106","Norway  ",1504,95100.00
32,406,"Auto Canal+ Petit","Perrier","Dominique","(1) 47.55.6555","25, rue Lauriston",,"Paris",,"75016","France",1337,95000.00
33,320,"Mini Creations Ltd.","Huang","Wing","5085559555","4575 Hillside Dr.",,"New Bedford","MA","50553","USA",1188,94500.00
34,398,"Tokyo Collectables, Ltd","Shimamura","Akiko","+81 3 3584 0555","2-2-8 Roppongi",,"Minato-ku","Tokyo","106-0032","Japan",1621,94400.00
35,240,"giftsbymail.co.uk","Bennett","Helen ","(198) 555-8888","Garden House","Crowther Way 23","Cowes","Isle of Wight","PO31 7PJ","UK",1501,93900.00
36,282,"Souveniers And Things Co.","Huxley","Adrian","+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy","Chatswood","NSW","2067","Australia",1611,93300.00
37,201,"UK Collectables, Ltd.","Devon","Elizabeth","(171) 555-2282","12, Berkeley Gardens Blvd",,"Liverpool",,"WX1 6LT","UK",1501,92700.00
38,205,"Toys4GrownUps.com","Young","Julie","6265557265","78934 Hillside Dr.",,"Pasadena","CA","90003","USA",1166,90700.00
39,311,"Oulu Toy Supplies, Inc.","Koskitalo","Pirkko","981-443655","Torikatu 38",,"Oulu",,"90110","Finland",1501,90500.00
40,202,"Canadian Gift Exchange Network","Tamuri","Yoshi ","(604) 555-3392","1900 Oak St.",,"Vancouver","BC","V3F 2K1","Canada",1323,90300.00
41,260,"Royal Canadian Collectables, Ltd.","Lincoln","Elizabeth ","(604) 555-4555","23 Tsawassen Blvd.",,"Tsawassen","BC","T2F 8M4","Canada",1323,89600.00
42,323,"Down Under Souveniers, Inc","Graham","Mike","+64 9 312 5555","162-164 Grafton Road","Level 2","Auckland  ",,,"New Zealand",1612,88000.00
43,412,"Extreme Desk Decorations, Ltd","McRoy","Sarah","04 499 9555","101 Lambton Quay","Level 11","Wellington",,,"New Zealand",1612,86800.00
44,462,"FunGiftIdeas.com","Benitez","Violeta","5085552555","1785 First Street",,"New Bedford","MA","50553","USA",1216,85800.00
45,495,"Diecast Collectables","Franco","Valarie","6175552555","6251 Ingle Ln.",,"Boston","MA","51003","USA",1188,85100.00
46,161,"Technics Stores Inc.","Hashimoto","Juri","6505556809","9408 Furth Circle",,"Burlingame","CA","94217","USA",1165,84600.00
47,172,"La Corne D'abondance, Co.","Bertrand","Marie","(1) 42.34.2555","265, boulevard Charonne",,"Paris",,"75012","France",1337,84300.00
47,175,"Gift Depot Inc.","King","Julie","2035552570","25593 South Bay Ln.",,"Bridgewater","CT","97562","USA",1323,84300.00
49,145,"Danish Wholesale Imports","Petersen","Jytte ","31 12 3555","Vinbæltet 34",,"Kobenhavn",,"1734","Denmark",1401,83400.00
50,171,"Daedalus Designs Imports","Rancé","Martine ","20.16.1555","184, chaussée de Tournai",,"Lille",,"59000","France",1370,82900.00
