"customerNumber","customerName","phone","addressLine1","addressLine2","city","state","postalCode","country","salesRepEmployeeNumber","creditLimit","customerFullName"
206,"Asian Shopping Network, Co","+612 9411 1555","Suntec Tower Three","8 Temasek","Singapore",,"038988","Singapore",,0.00,"Brydey Walker"
103,"Atelier graphique","40.32.2555","54, rue Royale",,"Nantes",,"44000","France",1370,21000.00,"Carine  Schmitt"
465,"Anton Designs, Ltd.","+34 913 728555","c/ Gobelas, 19-1 Urb. La Florida",,"Madrid",,"28023","Spain",,0.00,"Carmen Anton"
314,"Petit Auto","(02) 5554 67","Rue Joseph-Bens 532",,"Bruxelles",,"B-1180","Belgium",1401,79900.00,"Catherine  Dewey"
144,"Volvo Model Replicas, Co","0921-12 3555","Berguvsvägen  8",,"Luleå",,"S-958 22","Sweden",1504,53100.00,"Christina  Berglund"
447,"Gift Ideas Corp.","2035554407","2440 Pompton St.",,"Glendale","CT","97561","USA",1323,49700.00,"Dan Lewis"
256,"Auto Associés & Cie.","30.59.8555","67, avenue de l'Europe",,"Versailles",,"78000","France",1370,77900.00,"Daniel  Tonini"
250,"Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,"Paris",,"75508","France",1337,68100.00,"Daniel Da Silva"
189,"Clover Collections, Co.","+353 1862 1555","25 Maiden Lane","Floor No. 4","Dublin",,"2","Ireland",1504,69400.00,"Dean Cassidy"
141,"Euro+ Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",,"Madrid",,"28034","Spain",1370,227600.00,"Diego  Freyre"
406,"Auto Canal+ Petit","(1) 47.55.6555","25, rue Lauriston",,"Paris",,"75016","France",1337,95000.00,"Dominique Perrier"
363,"Online Diecast Creations Co.","6035558647","2304 Long Airport Avenue",,"Nashua","NH","62005","USA",1216,114200.00,"Dorothy Young"
293,"BG&E Collectables","+41 26 425 50 01","Rte des Arsenaux 41 ",,"Fribourg",,"1700","Switzerland",,0.00,"Ed Harrison"
216,"Enaco Distributors","(93) 203 4555","Rambla de Cataluña, 23",,"Barcelona",,"08022","Spain",1702,60300.00,"Eduardo  Saavedra"
260,"Royal Canadian Collectables, Ltd.","(604) 555-4555","23 Tsawassen Blvd.",,"Tsawassen","BC","T2F 8M4","Canada",1323,89600.00,"Elizabeth  Lincoln"
201,"UK Collectables, Ltd.","(171) 555-2282","12, Berkeley Gardens Blvd",,"Liverpool",,"WX1 6LT","UK",1501,92700.00,"Elizabeth Devon"
148,"Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye","Singapore",,"079903","Singapore",1621,103800.00,"Eric Natividad"
339,"Classic Gift Ideas, Inc","2155554695","782 First Street",,"Philadelphia","PA","71270","USA",1188,81100.00,"Francisca Cervantes"
473,"Frau da Collezione","+39 022515555","20093 Cologno Monzese","Alessandro Volta 16","Milan",,,"Italy",1401,34800.00,"Franco Ricotti"
209,"Mini Caravy","88.60.1555","24, place Kléber",,"Strasbourg",,"67000","France",1370,53800.00,"Frédérique  Citeaux"
382,"Salzburg Collectables","6562-9555","Geislweg 14",,"Salzburg",,"5020","Austria",1401,71700.00,"Georg  Pipps"
278,"Rovelli Gifts","035-640555","Via Ludovico il Moro 22",,"Bergamo",,"24100","Italy",1401,119600.00,"Giovanni  Rovelli"
477,"Mit Vergnügen & Co.","0621-08555","Forsterstr. 57",,"Mannheim",,"68306","Germany",,0.00,"Hanna  Moos"
240,"giftsbymail.co.uk","(198) 555-8888","Garden House","Crowther Way 23","Cowes","Isle of Wight","PO31 7PJ","UK",1501,93900.00,"Helen  Bennett"
259,"Toms Spezialitäten, Ltd","0221-5554327","Mehrheimerstr. 369",,"Köln",,"50739","Germany",1504,120400.00,"Henriette  Pfalzheim"
223,"Natürlich Autos","0372-555188","Taucherstraße 10",,"Cunewalde",,"01307","Germany",,0.00,"Horst  Kloss"
169,"Porto Imports Co.","(1) 356-5555","Estrada da saúde n. 58",,"Lisboa",,"1756","Portugal",,0.00,"Isabel  de Castro"
299,"Norway Gifts By Mail, Co.","+47 2212 1555","Drammensveien 126A","PB 211 Sentrum","Oslo",,"N 0106","Norway  ",1504,95100.00,"Jan Klaeboe"
119,"La Rochelle Gifts","40.67.8555","67, rue des Cinquante Otages",,"Nantes",,"44000","France",1370,118200.00,"Janine  Labrune"
233,"Québec Home Shopping Network","(514) 555-8054","43 rue St. Laurent",,"Montréal","Québec","H1J 1C3","Canada",1286,48700.00,"Jean  Fresnière"
112,"Signal Gift Stores","7025551838","8489 Strong St.",,"Las Vegas","NV","83030","USA",1166,71800.00,"Jean King"
151,"Muscle Machine Inc","2125557413","4092 Furth Circle","Suite 400","NYC","NY","10022","USA",1286,138500.00,"Jeff Young"
173,"Cambridge Collectables Co.","6175555555","4658 Baden Av.",,"Cambridge","MA","51247","USA",1188,43400.00,"Jerry Tseng"
344,"CAF Imports","+34 913 728 555","Merchants House","27-30 Merchant's Quay","Madrid",,"28023","Spain",1702,59600.00,"Jesus Fernandez"
121,"Baane Mini Imports","07-98 9555","Erling Skakkes gate 78",,"Stavern",,"4110","Norway",1504,81700.00,"Jonas  Bergulfsen"
484,"Iberia Gift Imports, Corp.","(95) 555 82 82","C/ Romero, 33",,"Sevilla",,"41101","Spain",1702,65700.00,"José Pedro  Roel"
321,"Corporate Gift Ideas Co.","6505551386","7734 Strong St.",,"San Francisco","CA","94217","USA",1165,105000.00,"Julie Brown"
175,"Gift Depot Inc.","2035552570","25593 South Bay Ln.",,"Bridgewater","CT","97562","USA",1323,84300.00,"Julie King"
129,"Mini Wheels Co.","6505555787","5557 North Pendale Street",,"San Francisco","CA","94217","USA",1165,64600.00,"Julie Murphy"
205,"Toys4GrownUps.com","6265557265","78934 Hillside Dr.",,"Pasadena","CA","90003","USA",1166,90700.00,"Julie Young"
161,"Technics Stores Inc.","6505556809","9408 Furth Circle",,"Burlingame","CA","94217","USA",1165,84600.00,"Juri Hashimoto"
362,"Gifts4AllAges.com","6175559555","8616 Spinnaker Dr.",,"Boston","MA","51003","USA",1216,41900.00,"Juri Yoshido"
145,"Danish Wholesale Imports","31 12 3555","Vinbæltet 34",,"Kobenhavn",,"1734","Denmark",1401,83400.00,"Jytte  Petersen"
334,"Suominen Souveniers","+358 9 8045 555","Software Engineering Center","SEC Oy","Espoo",,"FIN-02271","Finland",1501,98800.00,"Kalle Suominen"
361,"Kommission Auto","0251-555259","Luisenstr. 48",,"Münster",,"44087","Germany",,0.00,"Karin Josephs"
168,"American Souvenirs Inc","2035557845","149 Spinnaker Dr.","Suite 101","New Haven","CT","97823","USA",1286,0.00,"Keith Franco"
157,"Diecast Classics Inc.","2155551555","7586 Pompton St.",,"Allentown","PA","70267","USA",1216,100600.00,"Kelvin Leong"
131,"Land of Toys Inc.","2125557818","897 Long Airport Avenue",,"NYC","NY","10022","USA",1323,114900.00,"Kwai Lee"
350,"Marseille Mini Autos","91.24.4555","12, rue des Bouchers",,"Marseille",,"13008","France",1337,65000.00,"Laurence  Lebihan"
455,"Super Scale Inc.","2035559545","567 North Pendale Street",,"New Haven","CT","97823","USA",1286,95400.00,"Leslie Murphy"
198,"Auto-Moto Classics Inc.","6175558428","16780 Pompton St.",,"Brickhaven","MA","58339","USA",1216,23000.00,"Leslie Taylor"
369,"Lisboa Souveniers, Inc","(1) 354-2555","Jardim das rosas n. 32",,"Lisboa",,"1675","Portugal",,0.00,"Lino  Rodriguez"
424,"Classic Legends Inc.","2125558493","5905 Pompton St.","Suite 750","NYC","NY","10022","USA",1286,67500.00,"Maria Hernandez"
172,"La Corne D'abondance, Co.","(1) 42.34.2555","265, boulevard Charonne",,"Paris",,"75012","France",1337,84300.00,"Marie Bertrand"
286,"Marta's Replicas Co.","6175558555","39323 Spinnaker Dr.",,"Cambridge","MA","51247","USA",1216,123700.00,"Marta Hernandez"
448,"Scandinavian Gift Ideas","0695-34 6555","Åkergatan 24",,"Bräcke",,"S-844 67","Sweden",1504,116400.00,"Martha Larsson"
171,"Daedalus Designs Imports","20.16.1555","184, chaussée de Tournai",,"Lille",,"59000","France",1370,82900.00,"Martine  Rancé"
458,"Corrida Auto Replicas, Ltd","(91) 555 22 82","C/ Araquil, 67",,"Madrid",,"28023","Spain",1702,104600.00,"Martín  Sommer"
146,"Saveley & Henriot, Co.","78.32.5555","2, rue du Commerce",,"Lyon",,"69004","France",1337,123900.00,"Mary  Saveley"
219,"Boards & Toys Co.","3105552373","4097 Douglas Av.",,"Glendale","CA","92561","USA",1166,11000.00,"Mary Young"
186,"Toys of Finland, Co.","90-224 8555","Keskuskatu 45",,"Helsinki",,"21240","Finland",1501,96500.00,"Matti Karttunen"
386,"L'ordine Souveniers","0522-556555","Strada Provinciale 124",,"Reggio Emilia",,"42100","Italy",1401,121400.00,"Maurizio  Moroni"
307,"Der Hund Imports","030-0074555","Obere Str. 57",,"Berlin",,"12209","Germany",,0.00,"Mel Andersen"
415,"Bavarian Collectables Imports, Co."," +49 89 61 08 9555","Hansastr. 15",,"Munich",,"80686","Germany",1504,77000.00,"Michael Donnermeyer"
181,"Vitachrome Inc.","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","10022","USA",1286,76400.00,"Michael Frick"
204,"Online Mini Collectables","6175557555","7635 Spinnaker Dr.",,"Brickhaven","MA","58339","USA",1188,68700.00,"Miguel Barajas"
298,"Vida Sport, Ltd","0897-034555","Grenzacherweg 237",,"Genève",,"1203","Switzerland",1702,141300.00,"Mihael Holz"
211,"King Kong Collectables, Co.","+852 2251 1555","Bank of China Tower","1 Garden Road","Central Hong Kong",,,"Hong Kong",1621,58600.00,"Mike Gao"
323,"Down Under Souveniers, Inc","+64 9 312 5555","162-164 Grafton Road","Level 2","Auckland  ",,,"New Zealand",1612,88000.00,"Mike Graham"
177,"Osaka Souveniers Co.","+81 06 6342 5555","1-6-20 Dojima",,"Kita-ku","Osaka"," 530-0003","Japan",1621,81200.00,"Mory Kentary"
227,"Heintze Collectables","86 21 3555","Smagsloget 45",,"Århus",,"8200","Denmark",1401,120800.00,"Palle Ibsen"
249,"Amica Models & Co.","011-4988555","Via Monte Bianco 34",,"Torino",,"10100","Italy",1401,113000.00,"Paolo  Accorti"
381,"Royale Belge","(071) 23 67 2555","Boulevard Tirou, 255",,"Charleroi",,"B-6000","Belgium",1401,23500.00,"Pascale  Cartrain"
348,"Asian Treasures, Inc.","2967 555","8 Johnstown Road",,"Cork","Co. Cork",,"Ireland",,0.00,"Patricia  McKenna"
353,"Reims Collectables","26.47.1555","59 rue de l'Abbaye",,"Reims",,"51100","France",1337,81100.00,"Paul  Henriot"
273,"Franken Gifts, Co","089-0877555","Berliner Platz 43",,"München",,"80805","Germany",,0.00,"Peter  Franken"
114,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","3004","Australia",1611,117300.00,"Peter Ferguson"
335,"Cramer Spezialitäten, Ltd","0555-09555","Maubelstr. 90",,"Brandenburg",,"14776","Germany",,0.00,"Philip  Cramer"
311,"Oulu Toy Supplies, Inc.","981-443655","Torikatu 38",,"Oulu",,"90110","Finland",1501,90500.00,"Pirkko Koskitalo"
481,"Raanan Stores, Inc","+ 972 9 959 8555","3 Hagalim Blv.",,"Herzlia",,"47625","Israel",,0.00,"Raanan Altagar,G M"
187,"AV Stores, Co.","(171) 555-1555","Fauntleroy Circus",,"Manchester",,"EC2 5NT","UK",1501,136800.00,"Rachel Ashworth"
247,"Messner Shopping Network","069-0555984","Magazinweg 7",,"Frankfurt",,"60528","Germany",,0.00,"Renate  Messner"
409,"Stuttgart Collectable Exchange","0711-555361","Adenauerallee 900",,"Stuttgart",,"70563","Germany",,0.00,"Rita  Müller"
452,"Mini Auto Werke","7675-3555","Kirchgasse 6",,"Graz",,"8010","Austria",1401,45300.00,"Roland  Mendel"
128,"Blauer See Auto, Co.","+49 69 66 90 2555","Lyonerstr. 34",,"Frankfurt",,"60528","Germany",1504,59700.00,"Roland Keitel"
486,"Motor Mint Distributors Inc.","2155559857","11328 Douglas Av.",,"Philadelphia","PA","71270","USA",1323,72600.00,"Rosa Salazar"
412,"Extreme Desk Decorations, Ltd","04 499 9555","101 Lambton Quay","Level 11","Wellington",,,"New Zealand",1612,86800.00,"Sarah McRoy"
471,"Australian Collectables, Ltd","61-9-3844-6555","7 Allen Street",,"Glen Waverly","Victoria","3150","Australia",1611,60300.00,"Sean Clenahan"
319,"Mini Classics","9145554562","3758 North Pendale Street",,"White Plains","NY","24067","USA",1323,102700.00,"Steve Frick"
475,"West Coast Collectables Co.","3105553722","3675 Furth Circle",,"Burbank","CA","94019","USA",1166,55400.00,"Steve Thompson"
450,"The Sharp Gifts Warehouse","4085553659","3086 Ingle Ln.",,"San Jose","CA","94217","USA",1165,77600.00,"Sue Frick"
487,"Signal Collectibles Ltd.","4155554312","2793 Furth Circle",,"Brisbane","CA","94217","USA",1165,60300.00,"Sue Taylor"
124,"Mini Gifts Distributors Ltd.","4155551450","5677 Strong St.",,"San Rafael","CA","97562","USA",1165,210500.00,"Susan Nelson"
459,"Warburg Exchange","0241-039123","Walserweg 21",,"Aachen",,"52066","Germany",,0.00,"Sven  Ottlieb"
489,"Double Decker Gift Stores, Ltd","(171) 555-7555","120 Hanover Sq.",,"London",,"WA1 1DP","UK",1501,43300.00,"Thomas  Smith"
496,"Kelly's Gift Shop","+64 9 5555500","Arenales 1938 3'A'",,"Auckland  ",,,"New Zealand",1612,110000.00,"Tony Snowden"
495,"Diecast Collectables","6175552555","6251 Ingle Ln.",,"Boston","MA","51003","USA",1188,85100.00,"Valarie Franco"
239,"Collectable Mini Designs Co.","7605558146","361 Furth Circle",,"San Diego","CA","91217","USA",1166,105000.00,"Valarie Thompson"
167,"Herkku Gifts","+47 2267 3215","Brehmen St. 121","PR 334 Sentrum","Bergen",,"N 5804","Norway  ",1504,96800.00,"Veysel Oeztan"
462,"FunGiftIdeas.com","5085552555","1785 First Street",,"New Bedford","MA","50553","USA",1216,85800.00,"Violeta Benitez"
357,"GiftsForHim.com","64-9-3763555","199 Great North Road",,"Auckland",,,"New Zealand",1612,77700.00,"Wales MacKinlay"
166,"Handji Gifts& Co","+65 224 1555","106 Linden Road Sandown","2nd Floor","Singapore",,"069045","Singapore",1612,97900.00,"Wendy Victorino"
328,"Tekni Collectables Inc.","2015559350","7476 Moss Rd.",,"Newark","NJ","94019","USA",1323,43000.00,"William Brown"
320,"Mini Creations Ltd.","5085559555","4575 Hillside Dr.",,"New Bedford","MA","50553","USA",1188,94500.00,"Wing Huang"
202,"Canadian Gift Exchange Network","(604) 555-3392","1900 Oak St.",,"Vancouver","BC","V3F 2K1","Canada",1323,90300.00,"Yoshi  Tamuri"
456,"Microscale Inc.","2125551957","5290 North Pendale Street","Suite 200","NYC","NY","10022","USA",1286,39800.00,"Yu Choi"
125,"Havel & Zbyszek Co","(26) 642-7555","ul. Filtrowa 68",,"Warszawa",,"01-012","Poland",,0.00,"Zbyszek  Piestrzeniewicz"
