"customerNumber","customerName","contactLastName","contactFirstName","phone","addressLine1","addressLine2","city","state","country","salesRepEmployeeNumber","creditLimit","trimmedPostalcode"
424,"Classic Legends Inc.","Hernandez","Maria","2125558493","5905 Pompton St.","Suite 750","NYC","NY","USA",1286,67500.00,10022
443,"Feuer Online Stores, Inc","Feuer","Alexander ","0342-555176","Heerstr. 22",,"Leipzig",,"Germany",,0.00,4179
447,"Gift Ideas Corp.","Lewis","Dan","2035554407","2440 Pompton St.",,"Glendale","CT","USA",1323,49700.00,97561
448,"Scandinavian Gift Ideas","Larsson","Martha","0695-34 6555","Åkergatan 24",,"Bräcke",,"Sweden",1504,116400.00,0
450,"The Sharp Gifts Warehouse","Frick","Sue","4085553659","3086 Ingle Ln.",,"San Jose","CA","USA",1165,77600.00,94217
452,"Mini Auto Werke","Mendel","Roland ","7675-3555","Kirchgasse 6",,"Graz",,"Austria",1401,45300.00,8010
455,"Super Scale Inc.","Murphy","Leslie","2035559545","567 North Pendale Street",,"New Haven","CT","USA",1286,95400.00,97823
456,"Microscale Inc.","Choi","Yu","2125551957","5290 North Pendale Street","Suite 200","NYC","NY","USA",1286,39800.00,10022
458,"Corrida Auto Replicas, Ltd","Sommer","Martín ","(91) 555 22 82","C/ Araquil, 67",,"Madrid",,"Spain",1702,104600.00,28023
459,"Warburg Exchange","Ottlieb","Sven ","0241-039123","Walserweg 21",,"Aachen",,"Germany",,0.00,52066
462,"FunGiftIdeas.com","Benitez","Violeta","5085552555","1785 First Street",,"New Bedford","MA","USA",1216,85800.00,50553
465,"Anton Designs, Ltd.","Anton","Carmen","+34 913 728555","c/ Gobelas, 19-1 Urb. La Florida",,"Madrid",,"Spain",,0.00,28023
471,"Australian Collectables, Ltd","Clenahan","Sean","61-9-3844-6555","7 Allen Street",,"Glen Waverly","Victoria","Australia",1611,60300.00,3150
473,"Frau da Collezione","Ricotti","Franco","+39 022515555","20093 Cologno Monzese","Alessandro Volta 16","Milan",,"Italy",1401,34800.00,
475,"West Coast Collectables Co.","Thompson","Steve","3105553722","3675 Furth Circle",,"Burbank","CA","USA",1166,55400.00,94019
477,"Mit Vergnügen & Co.","Moos","Hanna ","0621-08555","Forsterstr. 57",,"Mannheim",,"Germany",,0.00,68306
480,"Kremlin Collectables, Co.","Semenov","Alexander ","+7 812 293 0521","2 Pobedy Square",,"Saint Petersburg",,"Russia",,0.00,19614
481,"Raanan Stores, Inc","Altagar,G M","Raanan","+ 972 9 959 8555","3 Hagalim Blv.",,"Herzlia",,"Israel",,0.00,47625
484,"Iberia Gift Imports, Corp.","Roel","José Pedro ","(95) 555 82 82","C/ Romero, 33",,"Sevilla",,"Spain",1702,65700.00,41101
486,"Motor Mint Distributors Inc.","Salazar","Rosa","2155559857","11328 Douglas Av.",,"Philadelphia","PA","USA",1323,72600.00,71270
487,"Signal Collectibles Ltd.","Taylor","Sue","4155554312","2793 Furth Circle",,"Brisbane","CA","USA",1165,60300.00,94217
489,"Double Decker Gift Stores, Ltd","Smith","Thomas ","(171) 555-7555","120 Hanover Sq.",,"London",,"UK",1501,43300.00,0
495,"Diecast Collectables","Franco","Valarie","6175552555","6251 Ingle Ln.",,"Boston","MA","USA",1188,85100.00,51003
496,"Kelly's Gift Shop","Snowden","Tony","+64 9 5555500","Arenales 1938 3'A'",,"Auckland  ",,"New Zealand",1612,110000.00,
